codigo_tienda,tipo_tienda,latitud_tienda,longitud_tienda
13947387,Tienda especializada,3.42670121895,-76.5459828745
12801197,Tienda especializada,3.484523024,-76.51291083
10773455,Tienda especializada,3.42409234968,-76.5444595007
14835797,Tienda especializada,3.435177079,-76.54035168
10668622,Tienda especializada,3.40250134807,-76.544292622
14962260,Tienda especializada,3.401877011,-76.54436945
14474746,Tienda especializada,3.39265933,-76.53257446
11815180,Tienda especializada,3.47741469203,-76.5267353021
13284518,Tienda especializada,3.45651011387,-76.5214170967
11867314,Tienda especializada,3.431710185,-76.53920837
13021282,Tienda especializada,3.44964760711,-76.5296926941
12445185,Tienda especializada,3.39971910902,-76.5433894045
12302378,Tienda especializada,3.43344406811,-76.5439850273
10313773,Tienda especializada,3.395520561,-76.53831047
14008353,Tienda especializada,3.412042279,-76.5332009
13630363,Tienda especializada,3.37132076526,-76.5260810572
13441050,Tienda especializada,3.43488964506,-76.538846055
11940665,Tienda especializada,3.43239852,-76.5388301
14607196,Tienda especializada,3.45824170801,-76.5172871978
12866471,Tienda especializada,3.402169886,-76.50492245
11608452,Tienda especializada,3.46374075299,-76.4817673015
12810560,Tienda especializada,3.449258724,-76.52221081
15213341,Tienda especializada,3.487240529,-76.51125104
13015987,Tienda especializada,3.45171086064,-76.5278238799
15254519,Tienda especializada,3.45283039677,-76.5284638284
14867923,Tienda especializada,3.401585613,-76.50495778
14353692,Tienda especializada,3.43575619512,-76.5419743607
10778520,Tienda especializada,3.45450364456,-76.5371906769
12419040,Tienda especializada,3.472052215,-76.52770512
14427488,Tienda especializada,3.486452208,-76.52597801
13167382,Tienda especializada,3.457729644,-76.52195362
13190616,Tienda especializada,3.43798208001,-76.4943349701
13896956,Tienda especializada,3.456122842,-76.53584388
15251556,Tienda especializada,3.433665584,-76.52823697
12717039,Tienda especializada,3.41728870534,-76.5414915299
15593536,Tienda especializada,3.43670206346,-76.5354396399
13413984,Tienda especializada,3.39800428356,-76.5399642823
14752851,Tienda especializada,3.459689987,-76.53451156
14292130,Tienda especializada,3.475004243,-76.52895239
14001291,Tienda especializada,3.36674244436,-76.5340205436
11475787,Tienda especializada,3.42929566636,-76.5390996572
14405559,Tienda especializada,3.418732779,-76.5395195
13318233,Tienda especializada,3.38475477958,-76.5386171599
12561528,Tienda especializada,3.48641474324,-76.5162441163
10666576,Tienda especializada,3.47099773865,-76.5253049412
11790706,Tienda especializada,3.44922253571,-76.5287404453
15322241,Tienda especializada,3.483751201,-76.49683819
14326664,Tienda especializada,3.472221104,-76.52659178
14015341,Tienda especializada,3.477667074,-76.51636564
14408041,Tienda especializada,3.3475777653,-76.534492132
14215370,Tienda especializada,3.434521141,-76.54471426
13252663,Tienda especializada,3.41706537277,-76.5441135986
15084791,Tienda especializada,3.38105710346,-76.5253637051
10932812,Tienda especializada,3.370904367,-76.52816668
11174554,Tienda especializada,3.449490687,-76.52978063
10577138,Tienda especializada,3.48990213,-76.50691178
14227300,Tienda especializada,3.456321058,-76.53652062
13425566,Tienda especializada,3.4140791824,-76.5405587127
13046479,Tienda especializada,3.450873843,-76.53331865
11561842,Tienda especializada,3.40631729913,-76.5468327049
15756968,Tienda especializada,3.364932963,-76.5314637
11587953,Tienda especializada,3.41928710618,-76.539353918
10531317,Tienda especializada,3.45241120213,-76.5212129145
12993333,Tienda especializada,3.36390859244,-76.5325950431
11101714,Tienda especializada,3.46937834887,-76.5105732137
15528193,Tienda especializada,3.42857854855,-76.4957993171
